CustomerID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment
0.0,108,1,160.0,4,1,4,414,promising
4.0,129,14,2976.6650000000004,4,5,5,455,loyal customers
15.0,173,4,32.330000000000005,3,5,3,353,loyal customers
16.0,327,3,110.91,1,5,4,154,can't loose
20.0,5,7,2431.41,5,5,5,555,champions
21.0,181,2,21.3,3,4,3,343,loyal customers
23.0,161,2,34.204,3,4,3,343,loyal customers
28.0,290,5,96.44990000000001,1,5,4,154,can't loose
32.0,3,98,5485.161499999999,5,5,5,555,champions
33.0,49,65,4973.786099999999,5,5,5,555,champions
41.0,258,1,21.99,1,1,3,113,hibernating
43.0,321,1,154.6,1,1,4,114,hibernating
44.0,52,3,414.3379,5,5,5,555,champions
47.0,215,14,1084.381,3,5,5,355,loyal customers
54.0,230,3,4.489999999999999,2,5,1,251,can't loose
58.0,55,6,209.3759,5,5,5,555,champions
59.0,332,7,97.69999999999999,1,5,4,154,can't loose
70.0,89,1,10.727,5,1,2,512,new customers
71.0,9,13,441.418501,5,5,5,555,champions
75.0,45,5,123.41999999999999,5,5,4,554,champions
79.0,224,3,392.67,2,5,5,255,can't loose
81.0,324,1,36.925,1,1,3,113,hibernating
85.0,291,1,8.0,1,1,1,111,hibernating
88.0,222,3,26.120000000000005,2,5,3,253,can't loose
93.0,307,1,11.64,1,1,2,112,hibernating
97.0,193,1,10.17,3,1,2,312,about to sleep
98.0,59,8,89.69,5,5,4,554,champions
100.0,186,2,35.9,3,4,3,343,loyal customers
102.0,225,2,24.46,2,4,3,243,at risk
111.0,35,7,94.53,5,5,4,554,champions
126.0,267,3,33.35,1,5,3,153,can't loose
132.0,187,8,176.498,3,5,4,354,loyal customers
135.0,136,2,29.990000000000002,3,4,3,343,loyal customers
140.0,350,1,32.480000000000004,1,1,3,113,hibernating
141.0,47,1,10.86,5,1,2,512,new customers
144.0,101,43,2074.863,4,5,5,455,loyal customers
153.0,190,1,8.52,3,1,1,311,about to sleep
163.0,166,8,359.73699999999997,3,5,5,355,loyal customers
168.0,181,12,168.92129799999998,3,5,4,354,loyal customers
172.0,194,4,65.26,3,5,4,354,loyal customers
174.0,155,3,428.39,3,5,5,355,loyal customers
180.0,48,3,249.39,5,5,5,555,champions
186.0,351,1,22.28,1,1,3,113,hibernating
189.0,322,2,20.9095,1,4,3,143,at risk
191.0,345,1,675.8100000000001,1,1,5,115,hibernating
199.0,242,7,42.38,1,5,3,153,can't loose
210.0,37,8,983.542401,5,5,5,555,champions
219.0,20,20,704.1439999999999,5,5,5,555,champions
220.0,312,3,633.4404999999999,1,5,5,155,can't loose
225.0,177,6,1195.6450000000002,3,5,5,355,loyal customers
228.0,323,1,3.3,1,1,1,111,hibernating
230.0,2,49,7356.3706,5,5,5,555,champions
232.0,200,1,5.96,3,1,1,311,about to sleep
236.0,213,3,567.487,3,5,5,355,loyal customers
241.0,23,4,50.44,5,5,4,554,champions
243.0,97,2,105.76,4,4,4,444,loyal customers
247.0,71,5,36.29,5,5,3,553,champions
248.0,122,2,19.037999999999997,4,4,2,442,loyal customers
251.0,118,1,709.99,4,1,5,415,promising
252.0,221,3,317.62,2,5,5,255,can't loose
256.0,205,6,267.624,3,5,5,355,loyal customers
261.0,185,1,11.865,3,1,2,312,about to sleep
262.0,217,4,638.202,3,5,5,355,loyal customers
265.0,204,13,764.92,3,5,5,355,loyal customers
267.0,226,1,14.739999999999998,2,1,2,212,hibernating
282.0,132,23,1619.135401,4,5,5,455,loyal customers
288.0,194,1,22.81,3,1,3,313,about to sleep
292.0,9,38,6720.182000000002,5,5,5,555,champions
294.0,100,4,62.7,4,5,4,454,loyal customers
296.0,201,3,165.89000000000001,3,5,4,354,loyal customers
297.0,219,1,13.08,3,1,2,312,about to sleep
299.0,77,4,31.725199999999997,5,5,3,553,champions
300.0,187,1,1.98,3,1,1,311,about to sleep
306.0,156,1,4.48,3,1,1,311,about to sleep
329.0,18,11,124.9798,5,5,4,554,champions
330.0,338,1,1.7399999999999998,1,1,1,111,hibernating
334.0,69,1,13.1,5,1,2,512,new customers
346.0,189,5,42.954,3,5,3,353,loyal customers
349.0,233,2,36.26,2,4,3,243,at risk
353.0,224,5,133.32799999999997,2,5,4,254,can't loose
360.0,355,1,9.95,1,1,1,111,hibernating
364.0,20,4,60.97,5,5,4,554,champions
366.0,219,2,34.61,3,4,3,343,loyal customers
371.0,359,1,0.03,1,1,1,111,hibernating
380.0,201,5,66.98500000000001,3,5,4,354,loyal customers
381.0,312,1,12.6,1,1,2,112,hibernating
382.0,340,1,10.35,1,1,2,112,hibernating
390.0,6,4,41.739999999999995,5,5,3,553,champions
391.0,285,1,41.64,1,1,3,113,hibernating
395.0,183,8,61.00000000000001,3,5,4,354,loyal customers
396.0,350,2,66.24,1,4,4,144,at risk
411.0,3,1,16.23,5,1,2,512,new customers
417.0,262,1,29.99,1,1,3,113,hibernating
423.0,100,7,402.26,4,5,5,455,loyal customers
424.0,229,2,25.23,2,4,3,243,at risk
430.0,24,2,158.9,5,4,4,544,champions
433.0,353,2,23.733,1,4,3,143,at risk
440.0,328,1,64.19,1,1,4,114,hibernating
441.0,354,1,35.7,1,1,3,113,hibernating
443.0,312,3,27.7429,1,5,3,153,can't loose
456.0,325,2,24.44,1,4,3,143,at risk
459.0,115,24,4507.777399999999,4,5,5,455,loyal customers
463.0,97,4,774.64,4,5,5,455,loyal customers
464.0,194,4,76.4522,3,5,4,354,loyal customers
469.0,195,1,10.0,3,1,2,312,about to sleep
479.0,6,50,1157.00711,5,5,5,555,champions
481.0,26,1,68.0,5,1,4,514,new customers
483.0,240,2,34.296,2,4,3,243,at risk
484.0,216,1,7.79,3,1,1,311,about to sleep
485.0,281,5,56.46510000000001,1,5,4,154,can't loose
500.0,219,6,749.1740000000001,3,5,5,355,loyal customers
514.0,285,1,8.5,1,1,1,111,hibernating
516.0,220,1,8.49,2,1,1,211,hibernating
527.0,342,1,24.2,1,1,3,113,hibernating
529.0,315,3,37.17,1,5,3,153,can't loose
533.0,226,3,118.62400000000001,2,5,4,254,can't loose
536.0,10,1,11.65,5,1,2,512,new customers
537.0,8,3,172.0,5,5,4,554,champions
539.0,321,2,45.004999999999995,1,4,3,143,at risk
548.0,339,1,25.009999999999998,1,1,3,113,hibernating
550.0,216,2,48.6665,3,4,3,343,loyal customers
552.0,331,1,64.36,1,1,4,114,hibernating
553.0,222,1,93.285,2,1,4,214,hibernating
555.0,4,10,166.39000000000001,5,5,4,554,champions
556.0,11,3,67.43,5,5,4,554,champions
557.0,345,1,29.98,1,1,3,113,hibernating
559.0,223,6,493.5275,2,5,5,255,can't loose
562.0,60,3,84.78,5,5,4,554,champions
566.0,225,5,81.29299999999999,2,5,4,254,can't loose
567.0,33,6,179.7425,5,5,4,554,champions
579.0,64,5,87.37,5,5,4,554,champions
582.0,226,1,46.25,2,1,3,213,hibernating
585.0,355,1,11.98,1,1,2,112,hibernating
586.0,26,1,18.99,5,1,2,512,new customers
588.0,176,5,48.0,3,5,3,353,loyal customers
590.0,361,1,3.0,1,1,1,111,hibernating
594.0,364,1,19.48,1,1,2,112,hibernating
595.0,226,2,127.98,2,4,4,244,at risk
601.0,79,2,320.95000000000005,5,4,5,545,champions
603.0,362,1,10.5,1,1,2,112,hibernating
604.0,323,4,43.510000000000005,1,5,3,153,can't loose
609.0,262,22,854.8222,1,5,5,155,can't loose
623.0,319,1,19.98,1,1,3,113,hibernating
629.0,120,3,31.36,4,5,3,453,loyal customers
668.0,177,2,18.450000000000003,3,4,2,342,loyal customers
674.0,223,1,16.23,2,1,2,212,hibernating
675.0,164,1,7.49,3,1,1,311,about to sleep
683.0,345,1,8.49,1,1,1,111,hibernating
685.0,7,15,695.3977,5,5,5,555,champions
688.0,325,3,217.44,1,5,5,155,can't loose
690.0,207,8,857.464,3,5,5,355,loyal customers
711.0,101,6,292.06,4,5,5,455,loyal customers
719.0,48,2,255.60590000000002,5,4,5,545,champions
732.0,354,1,10.1,1,1,2,112,hibernating
734.0,356,1,95.44999999999999,1,1,4,114,hibernating
749.0,101,5,69.60000000000001,4,5,4,454,loyal customers
750.0,191,2,39.03,3,4,3,343,loyal customers
753.0,225,3,61.038,2,5,4,254,can't loose
758.0,137,11,135.8701,3,5,4,354,loyal customers
766.0,219,1,14.512,3,1,2,312,about to sleep
767.0,220,16,361.441,2,5,5,255,can't loose
772.0,355,1,12.64,1,1,2,112,hibernating
775.0,174,1,11.0,3,1,2,312,about to sleep
777.0,111,4,48.92,4,5,3,453,loyal customers
779.0,284,4,95.63,1,5,4,154,can't loose
791.0,217,2,34.839,3,4,3,343,loyal customers
797.0,219,6,620.909,3,5,5,355,loyal customers
798.0,94,12,308.2105,5,5,5,555,champions
799.0,325,1,119.98,1,1,4,114,hibernating
801.0,322,1,9.55,1,1,1,111,hibernating
805.0,221,1,7.99,2,1,1,211,hibernating
807.0,8,18,225.4788,5,5,5,555,champions
809.0,165,2,14.25,3,4,2,342,loyal customers
815.0,56,19,3936.9615,5,5,5,555,champions
820.0,131,9,1396.956,4,5,5,455,loyal customers
822.0,360,2,33.7195,1,4,3,143,at risk
829.0,164,1,11.91,3,1,2,312,about to sleep
836.0,133,2,203.57,4,4,5,445,loyal customers
841.0,215,1,54.99,3,1,4,314,about to sleep
851.0,232,2,27.33,2,4,3,243,at risk
853.0,57,5,419.785,5,5,5,555,champions
854.0,39,3,57.5,5,5,4,554,champions
857.0,221,3,27.270000000000003,2,5,3,253,can't loose
867.0,183,3,78.6,3,5,4,354,loyal customers
881.0,336,1,3.0,1,1,1,111,hibernating
883.0,315,1,1.0,1,1,1,111,hibernating
895.0,251,1,5.1,1,1,1,111,hibernating
899.0,42,1,6.99,5,1,1,511,new customers
901.0,9,14,381.1525,5,5,5,555,champions
914.0,222,2,660.4699999999999,2,4,5,245,at risk
926.0,225,2,546.96,2,4,5,245,at risk
942.0,352,1,19.99,1,1,3,113,hibernating
947.0,190,2,39.56,3,4,3,343,loyal customers
967.0,51,4,70.69800000000001,5,5,4,554,champions
985.0,25,1,21.19,5,1,3,513,new customers
986.0,222,1,3.3899999999999997,2,1,1,211,hibernating
987.0,297,1,11.5,1,1,2,112,hibernating
993.0,117,1,0.7,4,1,1,411,promising
1006.0,118,7,100.23900000000002,4,5,4,454,loyal customers
1012.0,108,1,50.0,4,1,4,414,promising
1016.0,334,1,7.0,1,1,1,111,hibernating
1025.0,106,3,146.09,4,5,4,454,loyal customers
1027.0,95,2,170.0,5,4,4,544,champions
1040.0,53,7,91.44010000000002,5,5,4,554,champions
1049.0,360,1,17.0,1,1,2,112,hibernating
1054.0,131,3,34.656,4,5,3,453,loyal customers
1059.0,333,3,531.4000000000001,1,5,5,155,can't loose
1060.0,304,1,984.99,1,1,5,115,hibernating
1061.0,233,6,684.6800000000001,2,5,5,255,can't loose
1065.0,82,6,147.76000000000002,5,5,4,554,champions
1073.0,33,3,22.980000000000004,5,5,3,553,champions
1075.0,77,12,1045.5615,5,5,5,555,champions
1080.0,95,1,25.0,5,1,3,513,new customers
1084.0,333,2,14.55,1,4,2,142,at risk
1086.0,36,2,127.75999999999999,5,4,4,544,champions
1089.0,324,1,13.9,1,1,2,112,hibernating
1095.0,44,6,232.95999999999998,5,5,5,555,champions
1097.0,94,1,20.0,5,1,3,513,new customers
1104.0,323,2,45.0,1,4,3,143,at risk
1110.0,278,2,15.8,1,4,2,142,at risk
1139.0,220,1,1.59,2,1,1,211,hibernating
1143.0,9,18,1261.7250999999999,5,5,5,555,champions
1166.0,258,3,300.71,1,5,5,155,can't loose
1172.0,256,2,5.640000000000001,1,4,1,141,at risk
1176.0,41,3,32.08,5,5,3,553,champions
1187.0,53,4,1616.3273,5,5,5,555,champions
1188.0,202,9,152.625,3,5,4,354,loyal customers
1199.0,100,8,182.37,4,5,5,455,loyal customers
1236.0,113,1,8.98,4,1,1,411,promising
1239.0,2,13,506.41,5,5,5,555,champions
1251.0,263,2,39.57000000000001,1,4,3,143,at risk
1256.0,351,1,10.8201,1,1,2,112,hibernating
1261.0,177,1,3.65,3,1,1,311,about to sleep
1263.0,249,5,80.57,1,5,4,154,can't loose
1267.0,9,4,313.3125,5,5,5,555,champions
1269.0,358,1,15.45,1,1,2,112,hibernating
1279.0,229,2,24.189999999999998,2,4,3,243,at risk
1284.0,350,1,10.55,1,1,2,112,hibernating
1290.0,219,1,89.991,3,1,4,314,about to sleep
1294.0,221,3,43.33,2,5,3,253,can't loose
1314.0,352,1,8.89,1,1,1,111,hibernating
1320.0,255,1,10.49,1,1,2,112,hibernating
1323.0,177,21,2306.8399999999997,3,5,5,355,loyal customers
1339.0,232,2,16.72,2,4,2,242,at risk
1347.0,63,1,19.99,5,1,3,513,new customers
1350.0,332,1,10.75,1,1,2,112,hibernating
1352.0,106,1,12.049999999999999,4,1,2,412,promising
1356.0,243,3,37.67,1,5,3,153,can't loose
1364.0,270,2,21.099999999999998,1,4,3,143,at risk
1373.0,354,1,5.99,1,1,1,111,hibernating
1374.0,334,1,1.9799999999999995,1,1,1,111,hibernating
1382.0,345,2,407.99,1,4,5,145,at risk
1401.0,219,1,114.28200000000001,3,1,4,314,about to sleep
1407.0,320,2,150.54000000000002,1,4,4,144,at risk
1412.0,22,2,22.950000000000003,5,4,3,543,champions
1413.0,355,1,18.3,1,1,2,112,hibernating
1414.0,213,2,129.0,3,4,4,344,loyal customers
1423.0,69,8,11.16,5,5,2,552,champions
1425.0,154,8,239.97199999999998,3,5,5,355,loyal customers
1434.0,218,1,15.180999999999997,3,1,2,312,about to sleep
1437.0,240,1,10.32,2,1,2,212,hibernating
1440.0,327,1,18.5,1,1,2,112,hibernating
1444.0,101,1,9.87,4,1,1,411,promising
1449.0,226,1,347.4,2,1,5,215,hibernating
1462.0,129,4,207.69400000000002,4,5,5,455,loyal customers
1465.0,325,1,37.31,1,1,3,113,hibernating
1467.0,226,1,9.99,2,1,1,211,hibernating
1476.0,177,1,16.0,3,1,2,312,about to sleep
1477.0,217,3,10.29,3,5,2,352,loyal customers
1482.0,117,4,29.35,4,5,3,453,loyal customers
1487.0,128,4,48.4,4,5,3,453,loyal customers
1491.0,314,1,17.0,1,1,2,112,hibernating
1492.0,190,3,42.91,3,5,3,353,loyal customers
1504.0,202,3,276.61,3,5,5,355,loyal customers
1514.0,215,6,71.62,3,5,4,354,loyal customers
1522.0,221,1,12.99,2,1,2,212,hibernating
1524.0,241,1,3.45,2,1,1,211,hibernating
1530.0,174,2,16.572000000000003,3,4,2,342,loyal customers
1535.0,197,1,774.0,3,1,5,315,about to sleep
1542.0,268,1,10.03,1,1,2,112,hibernating
1550.0,153,6,175.7,3,5,4,354,loyal customers
1555.0,66,7,1118.807,5,5,5,555,champions
1558.0,111,3,161.16,4,5,4,454,loyal customers
1562.0,222,5,447.77799999999996,2,5,5,255,can't loose
1570.0,219,2,332.78700000000003,3,4,5,345,loyal customers
1581.0,50,9,245.31999999999996,5,5,5,555,champions
1607.0,208,4,64.46,3,5,4,354,loyal customers
1611.0,226,1,46.84,2,1,3,213,hibernating
1613.0,311,1,9.9,1,1,1,111,hibernating
1616.0,306,3,39.59,1,5,3,153,can't loose
1618.0,361,1,8.5,1,1,1,111,hibernating
1626.0,333,7,70.46000000000001,1,5,4,154,can't loose
1632.0,125,5,177.09959999999998,4,5,4,454,loyal customers
1638.0,314,2,84.97,1,4,4,144,at risk
1644.0,226,1,45.0,2,1,3,213,hibernating
1646.0,331,3,279.5,1,5,5,155,can't loose
1647.0,219,1,169.05599999999998,3,1,4,314,about to sleep
1661.0,11,3,42.47,5,5,3,553,champions
1664.0,156,1,90.265,3,1,4,314,about to sleep
